Фамилия;Имя;Отчество;Пол;Телефон;Фотография клиента;Дата рождения;Email;Дата регистрации
Гусева;Роза;Дмитриевна;2;7(23)064-51-84 ;Клиенты\10.jpg;13.02.1999;martyloo@live.com;12.12.2017
Медведев;Святослав;Юлианович;1;7(3520)435-21-20 ;Клиенты\m13.jpg;04.10.1972;hllam@comcast.net;13.10.2018
Андреев;Станислав;Максович;1;7(02)993-91-28 ;Клиенты\m3.jpg;10.10.1975;budinger@mac.com;26.12.2017
Александров;Станислав;Эдуардович;1;7(18)164-05-12 ;Клиенты\m2.jpg;04.07.1981;bigmauler@aol.com;08.11.2018
Быкова;Тала;Георгьевна;2;7(13)915-53-53 ;Клиенты\6.jpg;22.02.2000;ganter@optonline.net;13.08.2016
Анисимова;Тамара;Витальевна;2;7(66)128-04-10 ;Клиенты\2.jpg;16.06.1988;schwaang@mac.com;25.02.2016
Князев;Терентий;Валерьевич;1;7(98)397-23-23 ;Клиенты\m26.jpg;19.06.1991;rjones@aol.com;25.06.2018
Быков;Трофим;Константинович;1;7(3414)460-12-05 ;Клиенты\m14.jpg;20.12.1994;jguyer@aol.com;17.04.2016
Киселёв;Устин;Яковлевич;1;7(83)334-52-76 ;Клиенты\m25.jpg;08.01.1985;dalamb@verizon.net;21.06.2018
Алексеева;Элина;Матвеевна;2;7(8086)245-64-81 ;Клиенты\1.jpg;07.05.2002;pthomsen@verizon.net;28.03.2018
Дмитриева;Элина;Даниловна;2;7(787)140-48-84 ;Клиенты\12.jpg;10.12.1988;vmalik@live.com;11.02.2017
Баранова;Эльмира;Дмитриевна;2;7(9240)643-15-50 ;Клиенты\4.jpg;15.01.1977;jgmyers@comcast.net;08.07.2016
Галкин;Эрик;Онисимович;1;7(759)873-77-39 ;Клиенты\m16.jpg;18.01.1975;snunez@verizon.net;19.07.2016
Агафонов;Юстиниан;Олегович;1;7(303)810-28-78 ;Клиенты\m1.jpg;02.02.1997;staffelb@sbcglobal.net;08.06.2016
Гусев;Яков;Авксентьевич;1;7(0972)781-11-37 ;Клиенты\m20.jpg;10.12.1995;jdhedden@icloud.com;20.11.2017
Гущина;Янита;Федоровна;2;7(4544)716-68-96 ;Клиенты\11.jpg;02.03.1999;lishoy@att.net;01.02.2018
